mês	1	2	3	4	5	6	7	8	9
organics 2012	18	0	0	0.1	0.2	0.3	0.4	0.4	0.8
organics 2013	19.7	0.5	0.6	0.6	2	1.8	1.3	1.2	2.7
mgp 2012	155.5	144.5	138.2	141.3	141.5	142.2	133.5	130.6	138.1
mgp 2013	154.2	146.2	143.2	141.9	143.4	148	137.6	131.3	142.2
paper 2012	239.2	219.3	219.5	223.7	238.9	251.4	216.4	230.2	272.2
paper 2013	279.6	273.5	227.6	225.9	239.7	256.6	209.8	207.9	249.5
refuse 2012	1693.44	1655.6	1675	1707.6	1782.2	1771.1	1653.7	1682.9	1759.7
refuse 2013	1662.6	1673.1	1653.8	1690.6	1764.6	1826.3	1804.1	1768.1	1874.2
