UF	CLASSE I	CLASSE II	CLASSE III	CLASSE IV
NORTE	0.52	21.78	72.40	5.29
NORDESTE	0.77	27.98	65.19	6.06
SUDESTE	0.78	31.09	55.18	12.95
SUL	0.49	20.16	72.59	6.76
CENTRO-OESTE	0.73	26.76	66.01	6.50
